,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,MEMBER-SINCE,SEX,OCCUPATION-CODE,BLACK-LIST-CODE,BLACK-LIST-DATE,SPENDING-LIMIT,AVG-PAYMENTS,AVG-BALANCES,LAST-TRX-DATE,PY-AMT-CASH,YTD-AMT-CASH,YTD-MAX-BUCKET,PY-MAX-BUCKET,ACCOUNT-STATUS,CURRENT-BALANCE,BRANCH-CODE,AGE,AUTOMATIC-REPAYMENT,TARGET
97,97,97,97,01/10/1999,1,0,0,0,1000000.0,27417.0,737839,1,0,0,0,0,0.0,624795.0,367,29.0,0,0
98,98,98,98,01/10/1999,0,0,0,0,1000000.0,22833.0,986270,1,125000,0,3,3,0.0,996464.0,168,35.0,1,1
99,99,99,99,01/10/1999,1,0,0,0,1000000.0,40000.0,530239,1,0,200000,0,0,0.0,528884.0,267,46.0,0,0
100,100,100,100,01/10/1999,0,0,0,0,1000000.0,25000.0,853862,1,0,0,0,0,0.0,793818.0,667,31.0,0,0
101,101,101,101,01/10/1999,0,0,0,0,1000000.0,25208.0,881611,1,0,0,3,0,0.0,784402.0,168,39.0,1,1
102,102,102,102,01/10/1999,1,0,0,0,1000000.0,25292.0,808994,1,0,0,2,0,0.0,692545.0,865,49.0,0,1
103,103,103,103,01/10/1999,1,0,0,0,500000.0,24917.0,341896,1,150000,0,0,0,0.0,236646.0,865,52.0,0,0
104,104,104,104,01/10/1999,1,0,0,0,1000000.0,58333.0,550646,1,0,0,7,7,0.0,299641.0,167,50.0,0,1
105,105,105,105,01/10/1999,1,0,0,0,1000000.0,25000.0,764342,1,250000,430000,0,0,0.0,948793.0,69,54.0,0,0
106,106,106,106,01/10/1999,1,0,0,0,1000000.0,25417.0,904672,1,0,250000,0,0,0.0,957582.0,268,48.0,0,0
107,107,107,107,01/10/1999,1,0,0,0,1000000.0,24500.0,889923,1,0,0,2,0,0.0,817851.0,469,59.0,0,1
